Molecule,=O,O,C,N,-O,=N,=N-O,-tBu,-C(=O)H,-C(=O)CH3,-C(=O)N,-N,-C#CH,-C#N,#N,-OEt,-OMe,-cPropyl,-X,F,-CF3,=NCH3,-NC(=O)CH3,-C(=O)O,-C(=O)OMe,mu,alpha,homo,lumo,gap,r2,zpve,U0,U,H,G,Cv
O=C1C=CON=N1,1.0,2.0,3,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3067,46.55,-0.263,-0.0607,0.2023,965.3567,0.049003,-375.430225,-375.421157,-375.420213,-375.469933,24.943
O=C1C=NOC=N1,1.0,2.0,3,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4177,46.66,-0.2701,-0.0861,0.184,567.5171,0.055941,-375.359188,-375.354066,-375.353122,-375.388412,17.987
O=C1C=NON=C1,1.0,2.0,3,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2386,48.24,-0.2681,-0.1008,0.1674,577.0287,0.05495,-375.30706,-375.301908,-375.300964,-375.336105,18.514
O=C1C=NON=N1,1.0,2.0,2,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5473,45.28,-0.2714,-0.12,0.1514,556.6358,0.04133,-391.337881,-391.332272,-391.331328,-391.367925,19.012
O=C1N=CON=N1,1.0,2.0,2,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7309,41.79,-0.2961,-0.057,0.2391,913.3757,0.038631,-391.518453,-391.509552,-391.508608,-391.558096,23.419
O=C1N=NON=N1,1.0,2.0,1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8069,40.62,-0.2886,-0.1401,0.1485,509.6496,0.028773,-407.364323,-407.358989,-407.358045,-407.393485,18.268
O=C1NN=CC=C1,1.0,1.0,4,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0603,55.05,-0.2416,-0.0658,0.1759,604.5075,0.081654,-339.474134,-339.468985,-339.468041,-339.503018,19.353
O=C1NN=CC=N1,1.0,1.0,3,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9663,51.0,-0.2629,-0.0908,0.1721,574.962,0.069624,-355.520098,-355.515019,-355.514075,-355.549098,18.41
O=C1NN=CN=C1,1.0,1.0,3,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6216,50.96,-0.2549,-0.088,0.1669,579.5407,0.069709,-355.517745,-355.512683,-355.511739,-355.546612,18.485
O=C1NN=NC=C1,1.0,1.0,3,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0953,51.07,-0.2632,-0.0857,0.1775,584.2627,0.069139,-355.497046,-355.491966,-355.491022,-355.525927,18.61
O=C1NN=NC=N1,1.0,1.0,2,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7883,46.67,-0.2704,-0.111,0.1594,554.5055,0.05722,-371.546126,-371.5411,-371.540156,-371.575153,17.665
O=C1ON=CC=C1,1.0,2.0,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0371,51.21,-0.2729,-0.0918,0.1811,588.5266,0.06766,-359.315205,-359.309996,-359.309051,-359.344257,19.039
O=C1ON=CC=N1,1.0,2.0,3,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9976,47.1,-0.2823,-0.1176,0.1647,560.0165,0.05554,-375.359407,-375.354211,-375.353267,-375.38892,18.138
O=C1ON=CN=C1,1.0,2.0,3,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7399,46.97,-0.2754,-0.116,0.1594,563.8335,0.055765,-375.35753,-375.352401,-375.351457,-375.386615,18.132
O=C1ON=NC=C1,1.0,2.0,3,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9742,47.55,-0.2841,-0.1149,0.1692,571.1238,0.054764,-375.344926,-375.339618,-375.338674,-375.374123,18.839
