index,smiles,mu,alpha,homo,lumo,gap,r2,zpve,U0,U,H,G,Cv
3895,O,3.3067,46.55,-0.263,-0.0607,0.2023,965.3567,0.049003,-375.43024,-375.42114,-375.42023,-375.46994,24.943
3896,H,2.4177,46.66,-0.2701,-0.0861,0.184,567.5171,0.055941,-375.3592,-375.35406,-375.35312,-375.3884,17.987
3897,H,0.2386,48.24,-0.2681,-0.1008,0.1674,577.0287,0.05495,-375.30707,-375.3019,-375.30096,-375.3361,18.514
3898,H,1.5473,45.28,-0.2714,-0.12,0.1514,556.6358,0.04133,-391.3379,-391.33228,-391.33133,-391.36792,19.012
3899,H,1.7309,41.79,-0.2961,-0.057,0.2391,913.3757,0.038631,-391.51846,-391.50955,-391.5086,-391.5581,23.419
3900,N,0.8069,40.62,-0.2886,-0.1401,0.1485,509.6496,0.028773,-407.36432,-407.35898,-407.35803,-407.3935,18.268
3901,H,3.0603,55.05,-0.2416,-0.0658,0.1759,604.5075,0.081654,-339.47412,-339.469,-339.46805,-339.50302,19.353
3902,H,3.9663,51.0,-0.2629,-0.0908,0.1721,574.962,0.069624,-355.5201,-355.515,-355.51407,-355.5491,18.41
3903,H,1.6216,50.96,-0.2549,-0.088,0.1669,579.5407,0.069709,-355.51773,-355.5127,-355.51175,-355.5466,18.485
3904,H,1.0953,51.07,-0.2632,-0.0857,0.1775,584.2627,0.069139,-355.49704,-355.49197,-355.49103,-355.52594,18.61
3905,H,1.7883,46.67,-0.2704,-0.111,0.1594,554.5055,0.05722,-371.5461,-371.5411,-371.54016,-371.57516,17.665
3906,H,5.0371,51.21,-0.2729,-0.0918,0.1811,588.5266,0.06766,-359.31522,-359.31,-359.30905,-359.34427,19.039
3907,H,4.9976,47.1,-0.2823,-0.1176,0.1647,560.0165,0.05554,-375.3594,-375.35422,-375.35327,-375.38892,18.138
3908,H,2.7399,46.97,-0.2754,-0.116,0.1594,563.8335,0.055765,-375.35754,-375.3524,-375.35147,-375.38663,18.132
3909,H,3.9742,47.55,-0.2841,-0.1149,0.1692,571.1238,0.054764,-375.34494,-375.33963,-375.33868,-375.3741,18.839
3910,H,3.1252,43.15,-0.2947,-0.1404,0.1543,541.8821,0.042699,-391.3911,-391.38577,-391.38483,-391.42126,17.906
3911,H,1.9498,55.67,-0.2674,-0.0671,0.2003,673.0235,0.080965,-339.46918,-339.46365,-339.4627,-339.4986,19.679
3912,H,4.4753,52.01,-0.2768,-0.0867,0.19,661.4002,0.067276,-359.31042,-359.30496,-359.30402,-359.33994,18.973
3913,H,3.4619,47.97,-0.2923,-0.1056,0.1867,645.3087,0.054751,-375.34848,-375.34305,-375.3421,-375.37805,18.459
3914,H,4.6533,54.63,-0.2508,-0.0427,0.2081,693.134,0.080839,-339.4671,-339.4615,-339.46057,-339.49664,19.854
3915,H,6.6041,51.08,-0.2591,-0.0554,0.2037,667.2496,0.068221,-355.4969,-355.49142,-355.49048,-355.5264,19.066
3916,H,1.0032,50.24,-0.2698,-0.0686,0.2013,681.5836,0.067405,-359.31287,-359.30737,-359.30643,-359.3424,18.999
3917,H,4.161,47.99,-0.2758,-0.0741,0.2017,657.5025,0.05408,-375.35138,-375.3457,-375.34476,-375.38107,19.226
3918,H,2.4151,46.88,-0.2942,-0.1053,0.1889,633.355,0.0557,-375.37003,-375.3647,-375.36374,-375.39948,17.899
3919,H,5.3484,54.72,-0.2485,-0.0479,0.2005,685.5186,0.080584,-339.4625,-339.4569,-339.45596,-339.49203,19.915
3920,H,2.9175,50.39,-0.2632,-0.0653,0.198,666.0163,0.069124,-355.50198,-355.49658,-355.49564,-355.5315,18.637
3921,H,4.8782,50.12,-0.271,-0.077,0.194,672.7102,0.067056,-359.3063,-359.30078,-359.29984,-359.336,19.145
3922,H,3.5241,45.5,-0.2817,-0.0904,0.1913,644.7354,0.05559,-375.36877,-375.3634,-375.36246,-375.39832,17.984
3923,H,3.5481,46.38,-0.2876,-0.0995,0.1881,657.1967,0.054908,-375.3282,-375.32275,-375.3218,-375.35785,18.263
3924,H,1.4031,42.8,-0.2995,-0.1159,0.1836,631.3044,0.042335,-391.37033,-391.36493,-391.36398,-391.39987,17.853
3925,H,4.3084,55.29,-0.2698,-0.0508,0.2191,656.8842,0.080394,-339.4675,-339.46204,-339.4611,-339.49683,19.446
3926,H,5.1595,50.77,-0.2803,-0.074,0.2063,637.6405,0.06787,-355.49786,-355.49246,-355.49152,-355.52728,18.768
3927,H,2.7241,50.24,-0.291,-0.068,0.223,636.6098,0.068939,-355.52545,-355.52014,-355.5192,-355.55478,18.263
3928,H,3.4428,49.35,-0.2798,-0.0717,0.2081,642.5149,0.068393,-355.51834,-355.51294,-355.512,-355.54773,18.643
3929,H,4.7635,46.26,-0.3075,-0.091,0.2166,620.3852,0.055787,-371.53592,-371.53058,-371.52963,-371.5653,17.869
3930,H,3.2492,51.55,-0.2951,-0.0701,0.225,630.5913,0.068808,-355.50867,-355.50342,-355.50247,-355.5379,18.265
3931,H,3.1057,46.89,-0.3037,-0.0944,0.2093,612.537,0.056315,-371.54172,-371.53647,-371.53552,-371.57098,17.556
3932,H,2.702,42.91,-0.3256,-0.1158,0.2099,598.0259,0.043303,-387.55847,-387.55325,-387.5523,-387.5878,17.092
3933,H,2.3214,47.83,-0.207,0.0348,0.2418,624.3236,0.079639,-376.57538,-376.56912,-376.56818,-376.60522,22.904
3934,H,1.6498,50.52,-0.2466,-0.0757,0.1709,579.1534,0.069053,-355.50818,-355.50314,-355.5022,-355.53693,18.619
3935,H,3.2241,50.29,-0.2453,-0.0655,0.1798,581.2202,0.069261,-355.51303,-355.50803,-355.50708,-355.54178,18.491
3936,H,4.2366,46.93,-0.2669,-0.0921,0.1749,562.4829,0.055581,-371.5047,-371.4996,-371.49866,-371.5336,18.347
3937,H,3.0837,43.47,-0.226,0.0354,0.2615,638.3797,0.068999,-392.66202,-392.6563,-392.65536,-392.69122,21.127
3938,H,3.6923,50.41,-0.2417,-0.0763,0.1654,573.8035,0.069134,-355.5103,-355.5053,-355.50436,-355.53906,18.507
3939,H,3.9988,46.16,-0.2619,-0.0944,0.1675,552.7752,0.056727,-371.5379,-371.53293,-371.53198,-371.56674,17.786
3940,H,3.0015,43.75,-0.2207,0.0547,0.2753,644.8994,0.068384,-392.65094,-392.64523,-392.6443,-392.68018,21.373
3941,H,2.0759,49.13,-0.1974,0.0457,0.2431,657.7641,0.080647,-372.765,-372.75906,-372.75812,-372.7945,22.518
3942,H,3.0981,44.0,-0.2178,0.0439,0.2616,638.7664,0.068553,-392.67612,-392.67017,-392.66922,-392.70584,21.422
3943,H,3.6831,40.61,-0.2404,0.0261,0.2664,612.4799,0.056089,-412.548,-412.54236,-412.5414,-412.57755,19.952
3944,H,1.4129,44.41,-0.2188,0.0032,0.2219,598.3531,0.068039,-392.62787,-392.6217,-392.62076,-392.65765,21.908
3945,H,2.6402,42.23,-0.2533,0.0135,0.2668,613.2219,0.055405,-412.49463,-412.4893,-412.48834,-412.52377,19.522
3946,H,3.9731,37.46,-0.2814,0.0027,0.2842,594.9344,0.043532,-432.40176,-432.3966,-432.3957,-432.43073,18.291
3947,H,3.7765,55.48,-0.231,0.0251,0.2561,723.6032,0.104126,-340.64777,-340.64142,-340.64047,-340.6784,22.653
3948,H,2.1679,51.84,-0.2582,-0.0147,0.2435,723.2681,0.090919,-360.49924,-360.4931,-360.49216,-360.5297,21.682
3949,H,5.8627,51.83,-0.2502,0.0003,0.2505,719.9692,0.091607,-356.6801,-356.67374,-356.6728,-356.71133,21.885
3950,H,3.1745,48.47,-0.2746,-0.0415,0.2331,703.8412,0.07826,-376.54068,-376.53455,-376.5336,-376.57104,21.361
3951,H,1.4855,54.98,-0.2386,0.0173,0.2558,748.1278,0.104344,-340.6461,-340.63974,-340.6388,-340.67694,22.578
